Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
8201 Vaughan,22098590.017,"Adamo Group, Inc.",10639.00,HHF,09/18/2015,No,7,Warrendale,42.352229,-83.237316,"location
(42.352229, -83.237316)",,8201,VAUGHAN,St
3053 Townsend,17012420.,DMC Consultants,25580.00,HHF,09/18/2015,No,5,Islandview,42.363288,-83.008406,"location
(42.363288, -83.008406)",,3053,TOWNSEND,St
8420 Stahelin,22082872.,"Adamo Group, Inc.",11029.00,HHF,09/18/2015,No,7,Warrendale,42.354485,-83.224394,"location
(42.354485, -83.224394)",,8420,STAHELIN,Ave
3481 Townsend,17012404.,DMC Consultants,15850.00,HHF,09/18/2015,No,5,Islandview,42.364629,-83.009303,"location
(42.364629, -83.009303)",,3481,TOWNSEND,St
8269 Stahelin,22083924.,"Adamo Group, Inc.",9359.00,HHF,09/18/2015,No,7,Warrendale,42.353298,-83.225092,"location
(42.353298, -83.225092)",,8269,STAHELIN,Ave
15915 Chapel,22111630.,Rickman Enterprise Group,21010.00,HHF,09/18/2015,No,1,Brightmoor,42.407436,-83.253814,"location
(42.407436, -83.253814)",,15915,CHAPEL,St
18903 Vaughan,22098101.,"Adamo Group, Inc.",12199.00,HHF,09/18/2015,No,1,Holcomb Community,42.427239,-83.239993,"location
(42.427239, -83.239993)",,18903,VAUGHAN,St
8009 Belle,20007152.,Homrich,20900.00,HHF,09/18/2015,No,6,Springwells,42.315014,-83.130503,"location
(42.315014, -83.130503)",,8009,BELLE,St
8601 Stahelin,22083899.,"Adamo Group, Inc.",9919.00,HHF,09/18/2015,No,7,Warrendale,42.356,-83.225201,"location
(42.356, -83.225201)",,8601,STAHELIN,Ave
3047 Townsend,17012421.,DMC Consultants,13331.25,HHF,09/18/2015,No,5,Islandview,42.363214,-83.008357,"location
(42.363214, -83.008357)",,3047,TOWNSEND,St
3009 Townsend,17012427.,DMC Consultants,23760.00,HHF,09/18/2015,No,5,Islandview,42.362772,-83.008062,"location
(42.362772, -83.008062)",,3009,TOWNSEND,St
15908 Chapel,22111354.,Rickman Enterprise Group,22060.00,HHF,09/18/2015,No,1,Brightmoor,42.407359,-83.253153,"location
(42.407359, -83.253153)",,15908,CHAPEL,St
8233 Vaughan,22098590.013,"Adamo Group, Inc.",11666.00,HHF,09/18/2015,No,7,Warrendale,42.352646,-83.237332,"location
(42.352646, -83.237332)",,8233,VAUGHAN,St
15357 Fielding,22103107.,Rickman Enterprise Group,22250.00,HHF,09/18/2015,No,1,Brightmoor,42.401826,-83.243001,"location
(42.401826, -83.243001)",,15357,FIELDING,St
8247 Vaughan,22098590.011,"Adamo Group, Inc.",9030.00,HHF,09/18/2015,No,7,Warrendale,42.352838,-83.23734,"location
(42.352838, -83.23734)",,8247,VAUGHAN,St
248 Trowbridge,01003292.,DMC Consultants,18370.00,HHF,09/18/2015,No,5,Gateway Community,42.390653,-83.082072,"location
(42.390653, -83.082072)",,248,TROWBRIDGE,St
5432 Proctor,18012649.,Farrow Group,12900.00,HHF,09/18/2015,No,6,Claytown,42.33516,-83.138207,"location
(42.33516, -83.138207)",,5432,PROCTOR,St
3118 Concord,15010780.,Homrich,22500.00,HHF,09/18/2015,No,5,Islandview,42.360749,-83.014452,"location
(42.360749, -83.014452)",,3118,CONCORD,St
6767 Vaughan,22098668.,"Adamo Group, Inc.",11749.00,HHF,09/18/2015,No,7,Warrendale,42.340479,-83.236851,"location
(42.340479, -83.236851)",,6767,VAUGHAN,St
15865 Fielding,22103063.,Rickman Enterprise Group,21520.00,HHF,09/18/2015,No,1,Brightmoor,42.406959,-83.243213,"location
(42.406959, -83.243213)",,15865,FIELDING,St
7368 Stahelin,22082799-800,"Adamo Group, Inc.",18768.00,HHF,09/18/2015,No,7,Warrendale,42.345689,-83.224097,"location
(42.345689, -83.224097)",,7368,STAHELIN,Ave
18280 Codding,22120745.002L,Rickman Enterprise Group,12480.00,HHF,09/18/2015,No,1,Seven Mile-Rouge,42.423199,-83.270593,"location
(42.423199, -83.270593)",,18280,CODDING,St
11930 W Outer Drive,22125888.,"Adamo Group, Inc.",10569.00,HHF,09/17/2015,No,1,Brightmoor,42.392206,-83.257013,"location
(42.392206, -83.257013)",W,11930,OUTER DRIVE,Dr
531 Conner,21046517.,DMC Consultants,12368.75,HHF,09/17/2015,No,4,Jefferson Chalmers,42.362604,-82.954466,"location
(42.362604, -82.954466)",,531,CONNER,St
13586 Faust,22078636.,Rickman Enterprise Group,22210.00,HHF,09/17/2015,No,1,Schoolcraft Southfield,42.385557,-83.221833,"location
(42.385557, -83.221833)",,13586,FAUST,Ave
